city,state,zip,latitude,longitude
"Mill River","Massachusetts","01244","42.10924","-73.27475"
"Monterey","Massachusetts","01245","42.19043","-73.21579"
"North Adams","Massachusetts","01247","42.69813","-73.09264"
"Otis","Massachusetts","01253","42.20751","-73.1118"
"Richmond","Massachusetts","01254","42.37972","-73.36608"
"Sandisfield","Massachusetts","01255","42.1068","-73.12213"
"Savoy","Massachusetts","01256","42.59627","-73.01958"
"Sheffield","Massachusetts","01257","42.0976","-73.37241"
"South Egremont","Massachusetts","01258","42.09396","-73.46616"
"Southfield","Massachusetts","01259","42.07316","-73.23282"
"South Lee","Massachusetts","01260","42.26663","-73.2712"
"Stockbridge","Massachusetts","01262","42.30433","-73.32013"
"Tyringham","Massachusetts","01264","42.23997","-73.19686"
"West Stockbridge","Massachusetts","01266","42.30264","-73.39846"
"Williamstown","Massachusetts","01267","42.66593","-73.24209"
"Windsor","Massachusetts","01270","42.51297","-73.04859"
"Greenfield","Massachusetts","01301","42.62375","-72.60379"
"Ashfield","Massachusetts","01330","42.51772","-72.81556"
"Athol","Massachusetts","01331","42.56793","-72.18324"
"Bernardston","Massachusetts","01337","42.69512","-72.57731"
"Buckland","Massachusetts","01338","42.5814","-72.80309"
"Charlemont","Massachusetts","01339","42.61099","-72.88846"
"Colrain","Massachusetts","01340","42.68805","-72.73205"
"Conway","Massachusetts","01341","42.50734","-72.70221"
"Deerfield","Massachusetts","01342","42.54384","-72.6058"
"Drury","Massachusetts","01343","42.66766","-72.98822"
"Erving","Massachusetts","01344","42.60756","-72.42916"
"Heath","Massachusetts","01346","42.6706","-72.81323"
"Lake Pleasant","Massachusetts","01347","42.56027","-72.51321"
"Millers Falls","Massachusetts","01349","42.56656","-72.47045"
"Monroe Bridge","Massachusetts","01350","42.72259","-72.98291"
"Montague","Massachusetts","01351","42.54162","-72.52069"
"Gill","Massachusetts","01354","42.63282","-72.51136"
"New Salem","Massachusetts","01355","42.45101","-72.33141"
"Northfield","Massachusetts","01360","42.67575","-72.446"
"Orange","Massachusetts","01364","42.60449","-72.29263"
"Petersham","Massachusetts","01366","42.48858","-72.18564"
"Rowe","Massachusetts","01367","42.69674","-72.91387"
"Royalston","Massachusetts","01368","42.67815","-72.18557"
"Shelburne Falls","Massachusetts","01370","42.59607","-72.72915"
